Gene	cell_type
MCRS1	Astrocytes
ME3	Astrocytes
MEF2C	Astrocytes
MERTK	Astrocytes
NTMT2	Astrocytes
MFGE8	Astrocytes
MGAT5	Astrocytes
MGLL	Astrocytes
MICU2	Astrocytes
MITF	Astrocytes
MLEC	Astrocytes
MLF2	Astrocytes
MLLT3	Astrocytes
MLLT6	Astrocytes
MORF4L1	Astrocytes
MPC2	Astrocytes
MRPL22	Astrocytes
MRPL50	Astrocytes
MRPL55	Astrocytes
MRPS12	Astrocytes
MRPS16	Astrocytes
MRPS21	Astrocytes
MRPS36	Astrocytes
MRTFB	Astrocytes
MTLN	Astrocytes
MYOC	Astrocytes
N4BP1	Astrocytes
NACA	Astrocytes
NAP1L5	Astrocytes
NAPG	Astrocytes
NAT8B	Astrocytes
NAT8	Astrocytes
NCAM2	Astrocytes
NCL	Astrocytes
NDFIP2	Astrocytes
NDUFA12	Astrocytes
NDUFAF4	Astrocytes
NDUFB3	Astrocytes
NDUFB4	Astrocytes
NDUFC2-KCTD14	Astrocytes
NDUFC2	Astrocytes
NDUFS3	Astrocytes
NKAIN2	Astrocytes
NLGN2	Astrocytes
NPAS2	Astrocytes
NRG1	Astrocytes
NUB1	Astrocytes
NUMBL	Astrocytes
OAT	Astrocytes
ODC1	Astrocytes
OLFM2	Astrocytes
OSBPL6	Astrocytes
OSBPL8	Astrocytes
OST4	Astrocytes
OTUD7A	Astrocytes
OTULIN	Astrocytes
OXR1	Astrocytes
PACSIN2	Astrocytes
PADI2	Astrocytes
PALLD	Astrocytes
PAQR8	Astrocytes
PCDH19	Astrocytes
PCLO	Astrocytes
PDE1C	Astrocytes
PDE7B	Astrocytes
PDZD2	Astrocytes
PDZRN3	Astrocytes
PDZRN4	Astrocytes
PEG3	Astrocytes
PGAP1	Astrocytes
PHYHIPL	Astrocytes
PIGK	Astrocytes
PIK3IP1	Astrocytes
PKIG	Astrocytes
PKP4	Astrocytes
PLEC	Astrocytes
PLEKHB2	Astrocytes
PLEKHJ1	Astrocytes
PLK4	Astrocytes
PLPP3	Astrocytes
PLSCR4	Astrocytes
PNPLA8	Astrocytes
POFUT2	Astrocytes
POLR2A	Astrocytes
POR	Astrocytes
PPP1CC	Astrocytes
PPP1R13B	Astrocytes
PPP3CA	Astrocytes
PRDX1	Astrocytes
PRDX2	Astrocytes
PRDX4	Astrocytes
PRICKLE1	Astrocytes
PRKACA	Astrocytes
PRNP	Astrocytes
PRODH	Astrocytes
PSAP	Astrocytes
PSD2	Astrocytes
PSD3	Astrocytes
PSENEN	Astrocytes
PSMA1	Astrocytes
PSMB3	Astrocytes
PSMD10	Astrocytes
PTCHD4	Astrocytes
PTPRD	Astrocytes
PTPRJ	Astrocytes
PTPRN2	Astrocytes
PTPRS	Astrocytes
QDPR	Astrocytes
RAB1B	Astrocytes
RBCK1	Astrocytes
RDH14	Astrocytes
REEP5	Astrocytes
REXO2	Astrocytes
RGS7BP	Astrocytes
RIMKLB	Astrocytes
RIPOR2	Astrocytes
RMND5A	Astrocytes
RNF103	Astrocytes
RNF111	Astrocytes
RNF149	Astrocytes
RNMT	Astrocytes
RNPEPL1	Astrocytes
RNPS1	Astrocytes
ROCK2	Astrocytes
RPA1	Astrocytes
RPL34	Astrocytes
RPL6	Astrocytes
RPS19BP1	Astrocytes
RPS21	Astrocytes
RPS6KB2	Astrocytes
RTL4	Astrocytes
S100A13	Astrocytes
S1PR1	Astrocytes
SAMD9L	Astrocytes
SAR1A	Astrocytes
SARAF	Astrocytes
SBF1	Astrocytes
SCAMP5	Astrocytes
SDHD	Astrocytes
SEC62	Astrocytes
SELENOS	Astrocytes
SERINC1	Astrocytes
SESN1	Astrocytes
SF3B2	Astrocytes
SGCD	Astrocytes
SGTB	Astrocytes
SH3BP5	Astrocytes
SIPA1L2	Astrocytes
SLC10A7	Astrocytes
SLC25A11	Astrocytes
SLC25A18	Astrocytes
SLC25A22	Astrocytes
SLC25A3	Astrocytes
SLC35F1	Astrocytes
SLC38A2	Astrocytes
SLC4A4	Astrocytes
SLC6A11	Astrocytes
SLIT2	Astrocytes
SMIM3	Astrocytes
SMIM4	Astrocytes
SNRPB	Astrocytes
SNRPF	Astrocytes
SNX14	Astrocytes
SNX7	Astrocytes
SOD1	Astrocytes
SOD2	Astrocytes
SORL1	Astrocytes
SP4	Astrocytes
SPAG16	Astrocytes
SPEG	Astrocytes
SPTSSA	Astrocytes
SQSTM1	Astrocytes
SRPK1	Astrocytes
SSBP4	Astrocytes
SSR1	Astrocytes
ST3GAL4	Astrocytes
STARD3NL	Astrocytes
STIP1	Astrocytes
STK25	Astrocytes
SULF1	Astrocytes
SUPT4H1	Astrocytes
SYF2	Astrocytes
SYT11	Astrocytes
SYVN1	Astrocytes
TCEAL8	Astrocytes
TCF7L1	Astrocytes
TCP11L2	Astrocytes
TIMM9	Astrocytes
TIMP3	Astrocytes
TKT	Astrocytes
TLCD1	Astrocytes
TM9SF3	Astrocytes
TM9SF4	Astrocytes
TMBIM4	Astrocytes
TMBIM6	Astrocytes
TMED7	Astrocytes
TMED7-TICAM2	Astrocytes
TMEM115	Astrocytes
TMEM259	Astrocytes
TMEM38A	Astrocytes
TMEM59	Astrocytes
TMEM63B	Astrocytes
TMEM70	Astrocytes
TMEM9B	Astrocytes
TPM1	Astrocytes
TRIL	Astrocytes
TSC22D1	Astrocytes
TSHZ2	Astrocytes
TSN	Astrocytes
TSPAN3	Astrocytes
TSR3	Astrocytes
TTC33	Astrocytes
TTL	Astrocytes
TUBB2B	Astrocytes
UBA52	Astrocytes
UBALD2	Astrocytes
UBE2M	Astrocytes
UBE2O	Astrocytes
UBTF	Astrocytes
UNC13C	Astrocytes
UNC5C	Astrocytes
UPF1	Astrocytes
USP10	Astrocytes
USP11	Astrocytes
USP50	Astrocytes
USP53	Astrocytes
UTY	Astrocytes
VAMP2	Astrocytes
VAV3	Astrocytes
VCAM1	Astrocytes
VDAC2	Astrocytes
WDR17	Astrocytes
WNK1	Astrocytes
YBX1	Astrocytes
YPEL3	Astrocytes
ZCRB1	Astrocytes
ZFAND5	Astrocytes
ZNF704	Astrocytes
ZNHIT1	Astrocytes
ZNRF1	Astrocytes
ALCAM	Endothelial
ANK2	Endothelial
ARF1	Endothelial
ATP2A2	Endothelial
ATP5F1D	Endothelial
ATP5ME	Endothelial
AURKAIP1	Endothelial
CASD1	Endothelial
CENPP	Endothelial
GRM7	Endothelial
HNRNPK	Endothelial
HSP90AB1	Endothelial
ICE1	Endothelial
KCTD12	Endothelial
MMADHC	Endothelial
NDUFV2	Endothelial
NOMO2	Endothelial
NOMO1	Endothelial
NOMO3	Endothelial
OSBPL8	Endothelial
PDE1A	Endothelial
PDE7B	Endothelial
PDZRN3	Endothelial
POLR2I	Endothelial
PPM1L	Endothelial
PTGDS	Endothelial
PTMS	Endothelial
RPL3	Endothelial
RPL7	Endothelial
RPS25	Endothelial
RPS9	Endothelial
SLC25A3	Endothelial
TOMM20	Endothelial
TPM1	Endothelial
TRPC4	Endothelial
UQCRB	Endothelial
VAMP2	Endothelial
YWHAH	Endothelial
CALM2	Interneurons_Ndnf+
FIS1	Interneurons_Ndnf+
MAGED1	Interneurons_Ndnf+
MORF4L1	Interneurons_Ndnf+
MT1G	Interneurons_Ndnf+
NACA	Interneurons_Ndnf+
OAZ1	Interneurons_Ndnf+
PTPN5	Interneurons_Ndnf+
RPS8	Interneurons_Ndnf+
UTY	Interneurons_Ndnf+
C6orf226	Interneurons_Pnoc+
ACSL3	Interneurons_Pnoc+
ACTB	Interneurons_Pnoc+
ADCY6	Interneurons_Pnoc+
AFF2	Interneurons_Pnoc+
ALCAM	Interneurons_Pnoc+
AP2M1	Interneurons_Pnoc+
AP2S1	Interneurons_Pnoc+
ARHGAP1	Interneurons_Pnoc+
ARL6IP1	Interneurons_Pnoc+
ARPP21	Interneurons_Pnoc+
SPCS3	Interneurons_Pnoc+
ATP1B1	Interneurons_Pnoc+
ATP2A2	Interneurons_Pnoc+
ATP5F1A	Interneurons_Pnoc+
ATP6AP2	Interneurons_Pnoc+
ATP6V0C	Interneurons_Pnoc+
ATP6V1F	Interneurons_Pnoc+
ATP6V1G2-DDX39B	Interneurons_Pnoc+
ATXN7L3B	Interneurons_Pnoc+
BAIAP3	Interneurons_Pnoc+
BCL11B	Interneurons_Pnoc+
BEX1	Interneurons_Pnoc+
BEX2	Interneurons_Pnoc+
BRINP3	Interneurons_Pnoc+
BTF3	Interneurons_Pnoc+
CACNA1D	Interneurons_Pnoc+
CADM1	Interneurons_Pnoc+
CADM2	Interneurons_Pnoc+
CALM1	Interneurons_Pnoc+
CALN1	Interneurons_Pnoc+
CAMKK2	Interneurons_Pnoc+
CAPRIN1	Interneurons_Pnoc+
CD200	Interneurons_Pnoc+
CDH10	Interneurons_Pnoc+
CELF2	Interneurons_Pnoc+
CHMP4B	Interneurons_Pnoc+
CHRM3	Interneurons_Pnoc+
CHRFAM7A	Interneurons_Pnoc+
CHRNA7	Interneurons_Pnoc+
COL4A2	Interneurons_Pnoc+
COX8A	Interneurons_Pnoc+
CPLANE1	Interneurons_Pnoc+
CSDE1	Interneurons_Pnoc+
CTNNA3	Interneurons_Pnoc+
CX3CL1	Interneurons_Pnoc+
CYREN	Interneurons_Pnoc+
DCTN3	Interneurons_Pnoc+
DDX3Y	Interneurons_Pnoc+
DESI2	Interneurons_Pnoc+
DGKZ	Interneurons_Pnoc+
DLGAP1	Interneurons_Pnoc+
DNM2	Interneurons_Pnoc+
DOCK1	Interneurons_Pnoc+
DPM3	Interneurons_Pnoc+
DYNLL2	Interneurons_Pnoc+
EDA	Interneurons_Pnoc+
EEF1A1	Interneurons_Pnoc+
EEF1A2	Interneurons_Pnoc+
EID2	Interneurons_Pnoc+
EMC6	Interneurons_Pnoc+
EPHA5	Interneurons_Pnoc+
KIAA1217	Interneurons_Pnoc+
ETV6	Interneurons_Pnoc+
FAM174A	Interneurons_Pnoc+
FAM219A	Interneurons_Pnoc+
FNDC9	Interneurons_Pnoc+
FSTL5	Interneurons_Pnoc+
GDE1	Interneurons_Pnoc+
FAM205A	Interneurons_Pnoc+
C4orf48	Interneurons_Pnoc+
GNAS	Interneurons_Pnoc+
GNG3	Interneurons_Pnoc+
GOT2	Interneurons_Pnoc+
GRIK4	Interneurons_Pnoc+
GRINA	Interneurons_Pnoc+
HSP90AA1	Interneurons_Pnoc+
HSP90AB1	Interneurons_Pnoc+
IGSF8	Interneurons_Pnoc+
ITM2B	Interneurons_Pnoc+
KAT8	Interneurons_Pnoc+
KCNQ5	Interneurons_Pnoc+
KDM5D	Interneurons_Pnoc+
KLF12	Interneurons_Pnoc+
KMT2A	Interneurons_Pnoc+
LAMP1	Interneurons_Pnoc+
LGI3	Interneurons_Pnoc+
LRRC8C	Interneurons_Pnoc+
LRRTM3	Interneurons_Pnoc+
LRRTM4	Interneurons_Pnoc+
LY6H	Interneurons_Pnoc+
LYSMD4	Interneurons_Pnoc+
MAP3K3	Interneurons_Pnoc+
MBTD1	Interneurons_Pnoc+
MED28	Interneurons_Pnoc+
MEF2C	Interneurons_Pnoc+
MEIS2	Interneurons_Pnoc+
MGAT4C	Interneurons_Pnoc+
MIA3	Interneurons_Pnoc+
MLIP	Interneurons_Pnoc+
MRPL30	Interneurons_Pnoc+
MRPS34	Interneurons_Pnoc+
NDFIP1	Interneurons_Pnoc+
NDUFA5	Interneurons_Pnoc+
NDUFB3	Interneurons_Pnoc+
OXLD1	Interneurons_Pnoc+
PCDH17	Interneurons_Pnoc+
PCSK1N	Interneurons_Pnoc+
PDZD2	Interneurons_Pnoc+
PFN1	Interneurons_Pnoc+
PGPEP1L	Interneurons_Pnoc+
PGRMC1	Interneurons_Pnoc+
PRDX1	Interneurons_Pnoc+
PRMT8	Interneurons_Pnoc+
PSENEN	Interneurons_Pnoc+
PTBP2	Interneurons_Pnoc+
RAB2A	Interneurons_Pnoc+
RARB	Interneurons_Pnoc+
RESP18	Interneurons_Pnoc+
RFTN1	Interneurons_Pnoc+
RGS7BP	Interneurons_Pnoc+
ROBO2	Interneurons_Pnoc+
RPL13	Interneurons_Pnoc+
RPS15	Interneurons_Pnoc+
RPS2	Interneurons_Pnoc+
RPS20	Interneurons_Pnoc+
RUNX1T1	Interneurons_Pnoc+
SARAF	Interneurons_Pnoc+
SCAND1	Interneurons_Pnoc+
SCG2	Interneurons_Pnoc+
SDHAF4	Interneurons_Pnoc+
SEC11C	Interneurons_Pnoc+
SEC62	Interneurons_Pnoc+
SELENOM	Interneurons_Pnoc+
SIPA1L1	Interneurons_Pnoc+
SLC12A5	Interneurons_Pnoc+
SLC32A1	Interneurons_Pnoc+
SLC35F3	Interneurons_Pnoc+
SNTG1	Interneurons_Pnoc+
SNX25	Interneurons_Pnoc+
STX16	Interneurons_Pnoc+
STX16-NPEPL1	Interneurons_Pnoc+
SYT11	Interneurons_Pnoc+
SYT4	Interneurons_Pnoc+
TGOLN2	Interneurons_Pnoc+
TIMP2	Interneurons_Pnoc+
TM2D3	Interneurons_Pnoc+
TMEM132A	Interneurons_Pnoc+
TMSB4Y	Interneurons_Pnoc+
TMTC1	Interneurons_Pnoc+
TMX2	Interneurons_Pnoc+
TOX	Interneurons_Pnoc+
TRRAP	Interneurons_Pnoc+
UBASH3B	Interneurons_Pnoc+
UBB	Interneurons_Pnoc+
UCHL1	Interneurons_Pnoc+
UCHL3	Interneurons_Pnoc+
UNC13C	Interneurons_Pnoc+
UQCRQ	Interneurons_Pnoc+
UTY	Interneurons_Pnoc+
XRCC6	Interneurons_Pnoc+
ZCCHC18	Interneurons_Pnoc+
ZCCHC12	Interneurons_Pnoc+
ZCCHC12	Interneurons_Pnoc+
ZCCHC18	Interneurons_Pnoc+
ZFHX3	Interneurons_Pnoc+
ZNF608	Interneurons_Pnoc+
ZNF804A	Interneurons_Pnoc+
ZNF804B	Interneurons_Pnoc+
C20orf27	Interneurons_Pvalb+
APLP1	Interneurons_Pvalb+
ATP5PF	Interneurons_Pvalb+
ATP5MJ	Interneurons_Pvalb+
ATP6V0C	Interneurons_Pvalb+
BEX1	Interneurons_Pvalb+
BEX2	Interneurons_Pvalb+
CACNB2	Interneurons_Pvalb+
CCL27	Interneurons_Pvalb+
CCNQ	Interneurons_Pvalb+
CDH6	Interneurons_Pvalb+
CDH9	Interneurons_Pvalb+
CNTNAP3B	Interneurons_Pvalb+
CNTNAP3	Interneurons_Pvalb+
CNTNAP3C	Interneurons_Pvalb+
CTSB	Interneurons_Pvalb+
DPM3	Interneurons_Pvalb+
EEF1A1	Interneurons_Pvalb+
EID2	Interneurons_Pvalb+
FBLL1	Interneurons_Pvalb+
FTH1	Interneurons_Pvalb+
GABRD	Interneurons_Pvalb+
GAPDH	Interneurons_Pvalb+
GDE1	Interneurons_Pvalb+
GPX4	Interneurons_Pvalb+
GUCY1A1	Interneurons_Pvalb+
HSP90AB1	Interneurons_Pvalb+
HSPA8	Interneurons_Pvalb+
IMP3	Interneurons_Pvalb+
LAMP1	Interneurons_Pvalb+
LY6H	Interneurons_Pvalb+
MAGEH1	Interneurons_Pvalb+
MBP	Interneurons_Pvalb+
MMP17	Interneurons_Pvalb+
MOXD1	Interneurons_Pvalb+
MRPL57	Interneurons_Pvalb+
NDUFAF3	Interneurons_Pvalb+
NLGN1	Interneurons_Pvalb+
PCSK1N	Interneurons_Pvalb+
PGRMC1	Interneurons_Pvalb+
PHLDA1	Interneurons_Pvalb+
PTPRD	Interneurons_Pvalb+
RARB	Interneurons_Pvalb+
REEP5	Interneurons_Pvalb+
RNF7	Interneurons_Pvalb+
RPAP1	Interneurons_Pvalb+
RPS20	Interneurons_Pvalb+
SEC11C	Interneurons_Pvalb+
SELENOK	Interneurons_Pvalb+
SF3B5	Interneurons_Pvalb+
SLC32A1	Interneurons_Pvalb+
SMDT1	Interneurons_Pvalb+
SPARCL1	Interneurons_Pvalb+
STMN1	Interneurons_Pvalb+
STMN4	Interneurons_Pvalb+
SYT11	Interneurons_Pvalb+
THRA	Interneurons_Pvalb+
TIMM8B	Interneurons_Pvalb+
TIMP2	Interneurons_Pvalb+
TMEM50A	Interneurons_Pvalb+
TMSB4Y	Interneurons_Pvalb+
TUBB2B	Interneurons_Pvalb+
UBB	Interneurons_Pvalb+
UQCR10	Interneurons_Pvalb+
UQCRQ	Interneurons_Pvalb+
VPS28	Interneurons_Pvalb+
YEATS4	Interneurons_Pvalb+
CALM2	Interneurons_Sst+
SST	Interneurons_Sst+
TIMP2	Interneurons_Sst+
ABHD14A	Interneurons_Th+
ARPC1A	Interneurons_Th+
ATP2A2	Interneurons_Th+
ATP2B1	Interneurons_Th+
ATP5F1D	Interneurons_Th+
ATP5PD	Interneurons_Th+
ATP5PF	Interneurons_Th+
ATP5MJ	Interneurons_Th+
ATP6V0C	Interneurons_Th+
ATXN7L3B	Interneurons_Th+
BAIAP2	Interneurons_Th+
BEX1	Interneurons_Th+
BEX2	Interneurons_Th+
CHPF	Interneurons_Th+
CPE	Interneurons_Th+
CTSB	Interneurons_Th+
CYREN	Interneurons_Th+
DAPK3	Interneurons_Th+
DOC2B	Interneurons_Th+
DPM1	Interneurons_Th+
ECH1	Interneurons_Th+
EEF1A1	Interneurons_Th+
EID2	Interneurons_Th+
EMC6	Interneurons_Th+
FAM171A2	Interneurons_Th+
FTH1	Interneurons_Th+
GABRD	Interneurons_Th+
GDE1	Interneurons_Th+
GPX4	Interneurons_Th+
HSP90AB1	Interneurons_Th+
HSPH1	Interneurons_Th+
IGSF8	Interneurons_Th+
IMP3	Interneurons_Th+
INPP5J	Interneurons_Th+
LAMP1	Interneurons_Th+
LDHB	Interneurons_Th+
LRFN3	Interneurons_Th+
LY6H	Interneurons_Th+
MAP6	Interneurons_Th+
MRPL11	Interneurons_Th+
MRPL30	Interneurons_Th+
NACA	Interneurons_Th+
NDFIP1	Interneurons_Th+
NDN	Interneurons_Th+
NDUFA6	Interneurons_Th+
NLGN3	Interneurons_Th+
PARK7	Interneurons_Th+
PCSK1N	Interneurons_Th+
PGK1	Interneurons_Th+
PGRMC1	Interneurons_Th+
PHACTR1	Interneurons_Th+
PLA2G7	Interneurons_Th+
RABAC1	Interneurons_Th+
RANBP17	Interneurons_Th+
RBM39	Interneurons_Th+
REEP5	Interneurons_Th+
RPS2	Interneurons_Th+
RPS20	Interneurons_Th+
SDHAF4	Interneurons_Th+
SEC11C	Interneurons_Th+
SELENOK	Interneurons_Th+
SELENOW	Interneurons_Th+
SERGEF	Interneurons_Th+
SLC22A17	Interneurons_Th+
SLC32A1	Interneurons_Th+
SMDT1	Interneurons_Th+
SMPD1	Interneurons_Th+
SPARCL1	Interneurons_Th+
SYT11	Interneurons_Th+
SYT4	Interneurons_Th+
TIMM8B	Interneurons_Th+
TIMP2	Interneurons_Th+
TMSB4Y	Interneurons_Th+
TPI1	Interneurons_Th+
UBB	Interneurons_Th+
UBE3A	Interneurons_Th+
UQCR10	Interneurons_Th+
NCBP2AS2	Microglia
ABAT	Microglia
ABHD16A	Microglia
AGBL4	Microglia
APOE	Microglia
AREL1	Microglia
ARF1	Microglia
ARHGAP32	Microglia
ATP6V0B	Microglia
ATP6V1B2	Microglia
ATXN7L3B	Microglia
C18orf32	Microglia
BCAN	Microglia
BCCIP	Microglia
CACNA1D	Microglia
CCT8	Microglia
CDH11	Microglia
CDK8	Microglia
CHCHD1	Microglia
CHMP4B	Microglia
CINP	Microglia
CIR1	Microglia
COMMD9	Microglia
CPEB4	Microglia
CPSF2	Microglia
CSF3R	Microglia
CTNNA2	Microglia
DCUN1D4	Microglia
DNAJA2	Microglia
DYNC1H1	Microglia
EGLN2	Microglia
ERBB4	Microglia
FAT3	Microglia
FBXW7	Microglia
GRIPAP1	Microglia
HIPK1	Microglia
ICE1	Microglia
IPCEF1	Microglia
KCNK2	Microglia
LIMD2	Microglia
LONP1	Microglia
LPL	Microglia
MAPK1	Microglia
MPV17L	Microglia
MRPL18	Microglia
MRPL3	Microglia
NCL	Microglia
NDFIP2	Microglia
NDUFAF4	Microglia
NKAIN2	Microglia
NOC2L	Microglia
NRP2	Microglia
NSF	Microglia
OST4	Microglia
OTUD7A	Microglia
P3H2	Microglia
PAFAH1B2	Microglia
PBX3	Microglia
PCDH9	Microglia
PDE4B	Microglia
PGP	Microglia
PHYHIPL	Microglia
PLPP3	Microglia
POLR2K	Microglia
PRDX1	Microglia
PRKCE	Microglia
PSENEN	Microglia
PTCH1	Microglia
PTGES3	Microglia
PTK2B	Microglia
RANGAP1	Microglia
REPS2	Microglia
RER1	Microglia
RPS11	Microglia
RPS24	Microglia
SART3	Microglia
SIPA1L1	Microglia
SLC1A2	Microglia
STRN	Microglia
SURF4	Microglia
TCF25	Microglia
TIAM1	Microglia
TMEM178B	Microglia
TMEM59	Microglia
TPPP	Microglia
TSEN34	Microglia
UBE2E2	Microglia
UBFD1	Microglia
UBTF	Microglia
UNC13C	Microglia
VMP1	Microglia
WDR17	Microglia
YWHAG	Microglia
ZDHHC21	Microglia
C8orf34	MSN_Drd1+_1
ATP2B1	MSN_Drd1+_1
CAMK2A	MSN_Drd1+_1
CA12	MSN_Drd1+_1
CHIA	MSN_Drd1+_1
CHSY3	MSN_Drd1+_1
CTNNA3	MSN_Drd1+_1
DPM3	MSN_Drd1+_1
DRAP1	MSN_Drd1+_1
DYNLL1	MSN_Drd1+_1
EIF1	MSN_Drd1+_1
ELK3	MSN_Drd1+_1
